"Geography" "Age" "Gender" "Hispanic" "Race" "Freq" "TotalCountyPopulation"
"ALAMANCE" "18-25" "Male" "Hispanic" "WhiteAlone" 326 151131
"ALAMANCE" "26-40" "Male" "Hispanic" "WhiteAlone" 762 151131
"ALAMANCE" "41-65" "Male" "Hispanic" "WhiteAlone" 535 151131
"ALAMANCE" "66+" "Male" "Hispanic" "WhiteAlone" 59 151131
"ALAMANCE" "18-25" "Female" "Hispanic" "WhiteAlone" 382 151131
"ALAMANCE" "26-40" "Female" "Hispanic" "WhiteAlone" 710 151131
"ALAMANCE" "41-65" "Female" "Hispanic" "WhiteAlone" 501 151131
"ALAMANCE" "66+" "Female" "Hispanic" "WhiteAlone" 77 151131
"ALAMANCE" "18-25" "Male" "NotHispanic" "WhiteAlone" 5432 151131
"ALAMANCE" "26-40" "Male" "NotHispanic" "WhiteAlone" 8192 151131
"ALAMANCE" "41-65" "Male" "NotHispanic" "WhiteAlone" 17439 151131
"ALAMANCE" "66+" "Male" "NotHispanic" "WhiteAlone" 7044 151131
"ALAMANCE" "18-25" "Female" "NotHispanic" "WhiteAlone" 6214 151131
"ALAMANCE" "26-40" "Female" "NotHispanic" "WhiteAlone" 8927 151131
"ALAMANCE" "41-65" "Female" "NotHispanic" "WhiteAlone" 18706 151131
"ALAMANCE" "66+" "Female" "NotHispanic" "WhiteAlone" 10134 151131
"ALAMANCE" "18-25" "Male" "Hispanic" "BlackAlone" 20 151131
"ALAMANCE" "26-40" "Male" "Hispanic" "BlackAlone" 35 151131
"ALAMANCE" "41-65" "Male" "Hispanic" "BlackAlone" 38 151131
"ALAMANCE" "66+" "Male" "Hispanic" "BlackAlone" 3 151131
"ALAMANCE" "18-25" "Female" "Hispanic" "BlackAlone" 25 151131
"ALAMANCE" "26-40" "Female" "Hispanic" "BlackAlone" 39 151131
"ALAMANCE" "41-65" "Female" "Hispanic" "BlackAlone" 27 151131
"ALAMANCE" "66+" "Female" "Hispanic" "BlackAlone" 7 151131
"ALAMANCE" "18-25" "Male" "NotHispanic" "BlackAlone" 1542 151131
"ALAMANCE" "26-40" "Male" "NotHispanic" "BlackAlone" 2251 151131
"ALAMANCE" "41-65" "Male" "NotHispanic" "BlackAlone" 4390 151131
"ALAMANCE" "66+" "Male" "NotHispanic" "BlackAlone" 1148 151131
"ALAMANCE" "18-25" "Female" "NotHispanic" "BlackAlone" 1648 151131
"ALAMANCE" "26-40" "Female" "NotHispanic" "BlackAlone" 2902 151131
"ALAMANCE" "41-65" "Female" "NotHispanic" "BlackAlone" 5342 151131
"ALAMANCE" "66+" "Female" "NotHispanic" "BlackAlone" 1832 151131
"ALAMANCE" "18-25" "Male" "Hispanic" "AmericanIndianOrAlaskaNativeAlone" 30 151131
"ALAMANCE" "26-40" "Male" "Hispanic" "AmericanIndianOrAlaskaNativeAlone" 62 151131
"ALAMANCE" "41-65" "Male" "Hispanic" "AmericanIndianOrAlaskaNativeAlone" 43 151131
"ALAMANCE" "66+" "Male" "Hispanic" "AmericanIndianOrAlaskaNativeAlone" 6 151131
"ALAMANCE" "18-25" "Female" "Hispanic" "AmericanIndianOrAlaskaNativeAlone" 26 151131
"ALAMANCE" "26-40" "Female" "Hispanic" "AmericanIndianOrAlaskaNativeAlone" 77 151131
"ALAMANCE" "41-65" "Female" "Hispanic" "AmericanIndianOrAlaskaNativeAlone" 27 151131
"ALAMANCE" "66+" "Female" "Hispanic" "AmericanIndianOrAlaskaNativeAlone" 1 151131
"ALAMANCE" "18-25" "Male" "NotHispanic" "AmericanIndianOrAlaskaNativeAlone" 25 151131
"ALAMANCE" "26-40" "Male" "NotHispanic" "AmericanIndianOrAlaskaNativeAlone" 46 151131
"ALAMANCE" "41-65" "Male" "NotHispanic" "AmericanIndianOrAlaskaNativeAlone" 100 151131
"ALAMANCE" "66+" "Male" "NotHispanic" "AmericanIndianOrAlaskaNativeAlone" 25 151131
"ALAMANCE" "18-25" "Female" "NotHispanic" "AmericanIndianOrAlaskaNativeAlone" 33 151131
"ALAMANCE" "26-40" "Female" "NotHispanic" "AmericanIndianOrAlaskaNativeAlone" 51 151131
"ALAMANCE" "41-65" "Female" "NotHispanic" "AmericanIndianOrAlaskaNativeAlone" 105 151131
"ALAMANCE" "66+" "Female" "NotHispanic" "AmericanIndianOrAlaskaNativeAlone" 36 151131
"ALAMANCE" "18-25" "Male" "Hispanic" "AsianAlone" 0 151131
"ALAMANCE" "26-40" "Male" "Hispanic" "AsianAlone" 4 151131
"ALAMANCE" "41-65" "Male" "Hispanic" "AsianAlone" 4 151131
"ALAMANCE" "66+" "Male" "Hispanic" "AsianAlone" 0 151131
"ALAMANCE" "18-25" "Female" "Hispanic" "AsianAlone" 1 151131
"ALAMANCE" "26-40" "Female" "Hispanic" "AsianAlone" 2 151131
"ALAMANCE" "41-65" "Female" "Hispanic" "AsianAlone" 5 151131
"ALAMANCE" "66+" "Female" "Hispanic" "AsianAlone" 1 151131
"ALAMANCE" "18-25" "Male" "NotHispanic" "AsianAlone" 120 151131
"ALAMANCE" "26-40" "Male" "NotHispanic" "AsianAlone" 192 151131
"ALAMANCE" "41-65" "Male" "NotHispanic" "AsianAlone" 248 151131
"ALAMANCE" "66+" "Male" "NotHispanic" "AsianAlone" 52 151131
"ALAMANCE" "18-25" "Female" "NotHispanic" "AsianAlone" 128 151131
"ALAMANCE" "26-40" "Female" "NotHispanic" "AsianAlone" 265 151131
"ALAMANCE" "41-65" "Female" "NotHispanic" "AsianAlone" 288 151131
"ALAMANCE" "66+" "Female" "NotHispanic" "AsianAlone" 49 151131
"ALAMANCE" "18-25" "Male" "Hispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 0 151131
"ALAMANCE" "26-40" "Male" "Hispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 0 151131
"ALAMANCE" "41-65" "Male" "Hispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 0 151131
"ALAMANCE" "66+" "Male" "Hispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 0 151131
"ALAMANCE" "18-25" "Female" "Hispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 0 151131
"ALAMANCE" "26-40" "Female" "Hispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 1 151131
"ALAMANCE" "41-65" "Female" "Hispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 2 151131
"ALAMANCE" "66+" "Female" "Hispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 0 151131
"ALAMANCE" "18-25" "Male" "NotHispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 3 151131
"ALAMANCE" "26-40" "Male" "NotHispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 7 151131
"ALAMANCE" "41-65" "Male" "NotHispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 10 151131
"ALAMANCE" "66+" "Male" "NotHispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 0 151131
"ALAMANCE" "18-25" "Female" "NotHispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 4 151131
"ALAMANCE" "26-40" "Female" "NotHispanic" "NativeHawaiianOrOtherPacificIslanderAlone" 7 151131
